,company,salary,title
1207,Oneida ESC Group,,Petroleum Specialist Instructor - Army Quartermaster School
1208,Seeq Corporation,,Analytics Engineers - Industrial Experience - Virtual/Remote
1209,Citgo,,CC Maintenance Supervisor
1210,Air Force Reserve,,Logistics Readiness
1211,Kinder Morgan,,"Engineering Technician – Portland, TN"
1212,Occidental Petroleum Corporation,,Senior Chemical Research Engineer
1213,Citgo,,Associate Mechanical Engineer
1214,Honeywell,,Chemical Operator - Level 1
1215,RDM Industrial Electronics,$25.03 - $32.15 an hour,Electronics Technician
1216,HollyFrontier Corporation,,"Designer IV - Instrumentation, Electrical & Controls"
1217,PBF Energy,,Process Engineer
1218,TEAM Inc.,,UR - Engineering - FT
1219,American Refining Group Inc.,,Engineering Intern
1220,California Resources Corporation,,Operations Engineer
1221,National Renewable Energy Laboratory,"$68,000 - $112,200 a year",Postdoctoral Researcher – Process modeling and sustainabilit...
1222,University of Pittsburgh,,2020 ChemE Faculty
1223,Noble 8 LLC,,Process Instrument Sales Representative
1224,US Department of the Army,"$43,683 - $84,049 a year",Geologist
1225,Air Force Reserve,,Logistics Readiness
1226,Aramco Services Company,,Climate and Sustainability Research Scientist (613623)
1227,Oneida ESC Group,,Petroleum Specialist Instructor - Army Quartermaster School
1228,Kinder Morgan,,"Engineering Technician – Portland, TN"
1229,Honeywell,,Chemical Operator - Level 1
1230,Stony Creek Colors,"$65,000 - $85,000 a year",Plant Breeder
1231,RDM Industrial Electronics,$25.03 - $32.15 an hour,Electronics Technician
1232,TEAM Inc.,,UR - Engineering - FT
1233,Hilcorp Energy Company,,Facilities Engineer
1234,Citgo,,CC Maintenance Supervisor
1235,California Resources Corporation,,Operations Engineer
1236,Citgo,,Associate Mechanical Engineer
1237,HollyFrontier Corporation,,Regional Oversite Coordinator
1238,Rhode Island Air National Guard,$100 - $300 a day,Fuels
1239,Xylem,,XLI Field Technician
1240,WSP USA,,Petroleum Fuel Storage Tank Specialist
1241,Axens North America,,Technology Engineer
1242,Kinder Morgan,,Operations Specialist
1243,"Earth Systems, Inc.",,Entry Level Environmental Engineer
1244,Wood Mackenzie,,Senior Research Analyst - Oil & NGL Markets
1245,Nobis Group,,Environmental Intern
1246,Air Force Reserve,,Chemist/Nuclear Chemist
1247,Marathon Petroleum Corporation,,Instrument Engineer
1248,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
1249,Fiedler Group,,Project Engineer (Civil Engineering)
1250,aramcoservices,,Safety and Facilities Planning Specialist
1251,Trident Engineering & Inspection,,Mechanical Engineer
1252,Atlas Technical Consultants,,Field Geologist
1253,HollyFrontier Corporation,,Regional Oversite Coordinator
1254,Rhode Island Air National Guard,$100 - $300 a day,Fuels
1255,Xylem,,XLI Field Technician
1256,WSP USA,,Petroleum Fuel Storage Tank Specialist
1257,Axens North America,,Technology Engineer
1258,Kinder Morgan,,Operations Specialist
1259,"Earth Systems, Inc.",,Entry Level Environmental Engineer
1260,Wood Mackenzie,,Senior Research Analyst - Oil & NGL Markets
1261,Fluor Federal Petroleum Operations,,Civil Superintendent
1262,Nobis Group,,Environmental Intern
1263,Air Force Reserve,,Chemist/Nuclear Chemist
1264,Marathon Petroleum Corporation,,Instrument Engineer
1265,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
1266,Fiedler Group,,Project Engineer (Civil Engineering)
1267,Xylem,,XLI Field Technician
1268,WSP USA,,Petroleum Fuel Storage Tank Specialist
1269,Axens North America,,Technology Engineer
1270,Kinder Morgan,,Operations Specialist
1271,"Earth Systems, Inc.",,Entry Level Environmental Engineer
1272,Wood Mackenzie,,Senior Research Analyst - Oil & NGL Markets
1273,Fluor Federal Petroleum Operations,,Civil Superintendent
1274,Nobis Group,,Environmental Intern
1275,Air Force Reserve,,Chemist/Nuclear Chemist
1276,Marathon Petroleum Corporation,,Instrument Engineer
1277,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
1278,Fiedler Group,,Project Engineer (Civil Engineering)
1279,aramcoservices,,Safety and Facilities Planning Specialist
1280,Trident Engineering & Inspection,,Mechanical Engineer
1281,Jereh North American Group,"$50,000 - $75,000 a year",Manufacturing Process Engineer
1282,Stony Creek Colors,"$65,000 - $85,000 a year",Plant Breeder
1283,Oneida ESC Group,,Petroleum Specialist Instructor - Army Quartermaster School
1284,Seeq Corporation,,Analytics Engineers - Industrial Experience - Virtual/Remote
1285,Citgo,,CC Maintenance Supervisor
1286,Air Force Reserve,,Logistics Readiness
1287,Kinder Morgan,,"Engineering Technician – Portland, TN"
1288,Occidental Petroleum Corporation,,Senior Chemical Research Engineer
1289,Citgo,,Associate Mechanical Engineer
1290,Honeywell,,Chemical Operator - Level 1
1291,RDM Industrial Electronics,$25.03 - $32.15 an hour,Electronics Technician
1292,HollyFrontier Corporation,,"Designer IV - Instrumentation, Electrical & Controls"
1293,PBF Energy,,Process Engineer
1294,TEAM Inc.,,UR - Engineering - FT
1295,American Refining Group Inc.,,Engineering Intern
1296,California Resources Corporation,,Operations Engineer
1297,HollyFrontier Corporation,,Regional Oversite Coordinator
1298,Rhode Island Air National Guard,$100 - $300 a day,Fuels
1299,Xylem,,XLI Field Technician
1300,WSP USA,,Petroleum Fuel Storage Tank Specialist
1301,Axens North America,,Technology Engineer
1302,Kinder Morgan,,Operations Specialist
1303,"Earth Systems, Inc.",,Entry Level Environmental Engineer
1304,Wood Mackenzie,,Senior Research Analyst - Oil & NGL Markets
1305,Fluor Federal Petroleum Operations,,Civil Superintendent
1306,Nobis Group,,Environmental Intern
1307,Air Force Reserve,,Chemist/Nuclear Chemist
1308,Marathon Petroleum Corporation,,Instrument Engineer
1309,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
1310,Fiedler Group,,Project Engineer (Civil Engineering)
1311,aramcoservices,,Safety and Facilities Planning Specialist
1312,University of Pittsburgh,,2020 ChemE Faculty
1313,Noble 8 LLC,,Process Instrument Sales Representative
1314,US Department of the Army,"$43,683 - $84,049 a year",Geologist
1315,Air Force Reserve,,Logistics Readiness
1316,Aramco Services Company,,Climate and Sustainability Research Scientist (613623)
1317,Oneida ESC Group,,Petroleum Specialist Instructor - Army Quartermaster School
1318,Kinder Morgan,,"Engineering Technician – Portland, TN"
