,company,salary,title
548,Reid Petroleum,,Network Specialist
549,Entergy,,Maintenance Operator - Power Generation Plant
550,"Computerized Mudlogging Service, LLC",$13.00 - $17.25 an hour,Mudlogger/Wellsite Geologist
551,Waste Management,,Waste Water Engineer
552,Southern Company,,Chemical Technician - Plant Gaston
553,Occidental Petroleum Corporation,,Process Engineer
554,Phillips 66,,Technician - Renewables
555,"State of New Mexico-Energy, Minerals & Natural Res...","$47,500 - $82,600 a year",Petroleum Specialist - Advanced - UIC Program
556,CPA Global,,Patent Analyst - Chemistry (Remote Contractor)
557,City of Toledo,"$50,024 - $58,864 a year",Engineering Associate
558,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
559,SPATCO ENERGY SOLUTIONS LLC,,Petroleum Sales Representative
560,Bolivar Trading,,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV."
561,Testengeer Incorporated,$24 - $45 an hour,Chemical Engineer
562,US Department of Veterans Affairs,"$58,842 - $76,499 a year",Engineering Technician
563,VAM USA,,(R&D) Project/Methods Engineer Intern
564,Honeywell,,Chemical Operator - Level 1
565,TechnipFMC,,Electronic Hardware Engineering Intern
566,Occidental Petroleum Corporation,,Safety Superintendent
567,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,,Engineer
568,Chemical & Industrial Engineering Inc,,PLANT DESIGN DESIGNER V
569,Occidental Petroleum Corporation,,Drafting/Designer
570,Phillips 66,,Technician - Analytical Sciences
571,KeyLogic Systems,,Energy Analysis Internship
572,Honeywell,,Chemical Operator - Level 1
573,TechnipFMC,,Electronic Hardware Engineering Intern
574,Occidental Petroleum Corporation,,Safety Superintendent
575,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,,Engineer
576,Chemical & Industrial Engineering Inc,,PLANT DESIGN DESIGNER V
577,Occidental Petroleum Corporation,,Drafting/Designer
578,Phillips 66,,Technician - Analytical Sciences
579,KeyLogic Systems,,Energy Analysis Internship
580,Occidental Petroleum Corporation,,Supt Maintenance
581,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
582,Western Research Institute,"From $80,000 a year",Project Leader
583,Reid Petroleum,,Network Specialist
584,Entergy,,Maintenance Operator - Power Generation Plant
585,"Computerized Mudlogging Service, LLC",$13.00 - $17.25 an hour,Mudlogger/Wellsite Geologist
586,Waste Management,,Waste Water Engineer
587,VAM USA,,(R&D) Project/Methods Engineer Intern
588,Honeywell,,Chemical Operator - Level 1
589,TechnipFMC,,Electronic Hardware Engineering Intern
590,Occidental Petroleum Corporation,,Safety Superintendent
591,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,,Engineer
592,Chemical & Industrial Engineering Inc,,PLANT DESIGN DESIGNER V
593,Occidental Petroleum Corporation,,Drafting/Designer
594,Phillips 66,,Technician - Analytical Sciences
595,KeyLogic Systems,,Energy Analysis Internship
596,Occidental Petroleum Corporation,,Supt Maintenance
597,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
598,Western Research Institute,"From $80,000 a year",Project Leader
599,Reid Petroleum,,Network Specialist
600,Entergy,,Maintenance Operator - Power Generation Plant
601,"Computerized Mudlogging Service, LLC",$13.00 - $17.25 an hour,Mudlogger/Wellsite Geologist
602,Occidental Petroleum Corporation,,Supt Maintenance
603,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
604,Western Research Institute,"From $80,000 a year",Project Leader
605,International United Technology Group,,Reservoir engineer
606,Reid Petroleum,,Network Specialist
607,Entergy,,Maintenance Operator - Power Generation Plant
608,"Computerized Mudlogging Service, LLC",$13.00 - $17.25 an hour,Mudlogger/Wellsite Geologist
609,Waste Management,,Waste Water Engineer
610,Southern Company,,Chemical Technician - Plant Gaston
611,Occidental Petroleum Corporation,,Process Engineer
612,Phillips 66,,Technician - Renewables
613,"State of New Mexico-Energy, Minerals & Natural Res...","$47,500 - $82,600 a year",Petroleum Specialist - Advanced - UIC Program
614,CPA Global,,Patent Analyst - Chemistry (Remote Contractor)
615,International United Technology Group,,Fracturing engineer
616,AECOM,,Entry Level Environmental Scientist
617,University of Alaska,,College of Engineering & Mines - Temporary Faculty (Credit)...
618,CVR Energy,,Intern
619,"Applied Research Associates, Inc",,Engineering Aide
620,Phillips 66,,Data Scientist
621,Kinder Morgan,,Operator 12
622,Piper Sandler,,E&P Engineer
623,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
624,Gardner Denver Petroleum,,Development Engineer
625,Extract,"$86,000 - $121,635 a year",Reliability Engineer
626,Gevo Inc.,,Plant Process Engineer
627,Diakon Solutions,"$75,000 - $83,000 a year",Associate Engineer/Chemist
628,Stony Creek Colors,"$65,000 - $85,000 a year",Plant Breeder
629,"Vitus Energy, LLC","From $100,000 a year",
630,Reid Petroleum,,Network Specialist
631,Kiely Family of Companies,,Project Engineer
632,Upbeet,,Upbeet - Hiring Servers and Smoothie Makers!
633,Occidental Petroleum Corporation,,Process Engineer
634,Phillips 66,,Technician - Renewables
635,"State of New Mexico-Energy, Minerals & Natural Res...","$47,500 - $82,600 a year",Petroleum Specialist - Advanced - UIC Program
636,CPA Global,,Patent Analyst - Chemistry (Remote Contractor)
637,AECOM,,Entry Level Environmental Scientist
638,TFE Inc,,Scientist
639,Borets Company LLC,,Surveillance Engineer
640,Percussion Petroleum,,VP of Operations
641,Entergy,,Production Technician - Power Generation Plant
642,V-TIC Services Inc.,$25 - $28 an hour,Research Chemist
643,IPCOS,,Digital Oil Field Consultant
644,HollyFrontier Corporation,,Precious Metals Coordinator
645,State of West Virginia,"$48,299 - $89,353 a year",Engineer Associate - PSC - Kanawha Co.
646,Entergy,,Maintenance Operator (Water Division) - Power Generation Pla...
647,Argonne National Laboratory,,Senior Energy Systems Researcher – Petroleum and Natural Gas...
648,Gardner Denver Petroleum,,Development Engineer/Sustaining
649,Englobal Master,,VICE PRESIDENT
650,Energy Transfer Family of Partnerships,,Sr Engineer
651,"Borets U.S., Inc.","$84,615 - $135,384 a year","Manager, Field Service Quality and Training"
652,Columbia University,,Postdoctoral Research Scientist
653,Entergy,,Production Technician - Power Generation Plant
654,Phillips 66,,Process Engineer - Wood River Refinery
655,OneSource,"$100,000 - $120,000 a year",Refinery Inspection Technician (3531)
656,IPA,,Project Analyst (North America)
657,Phillips 66,,Refinery Inspector - Billings Refinery
658,Borets Company LLC,,Surveillance Engineer
659,PinnacleART,,Solutions Engineer
660,Percussion Petroleum,,VP of Operations
661,Marathon Petroleum Corporation,,Cybersecurity Analyst - Administration and Engineering
662,Southern Company,,Chemical Technician - Plant Gaston
663,Gardner Denver Petroleum,,Development Engineer/Sustaining
664,Englobal Master,,VICE PRESIDENT
665,Energy Transfer Family of Partnerships,,Sr Engineer
666,"Borets U.S., Inc.","$84,615 - $135,384 a year","Manager, Field Service Quality and Training"
667,Columbia University,,Postdoctoral Research Scientist
668,Entergy,,Production Technician - Power Generation Plant
669,Phillips 66,,Process Engineer - Wood River Refinery
670,OneSource,"$100,000 - $120,000 a year",Refinery Inspection Technician (3531)
671,IPA,,Project Analyst (North America)
672,Phillips 66,,Refinery Inspector - Billings Refinery
673,Borets Company LLC,,Surveillance Engineer
674,PinnacleART,,Solutions Engineer
675,Percussion Petroleum,,VP of Operations
676,Marathon Petroleum Corporation,,Cybersecurity Analyst - Administration and Engineering
677,Southern Company,,Chemical Technician - Plant Gaston
678,Occidental Petroleum Corporation,,Supt Maintenance
679,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
680,Western Research Institute,"From $80,000 a year",Project Leader
681,International United Technology Group,,Reservoir engineer
682,Entergy,,Maintenance Operator - Power Generation Plant
683,"Computerized Mudlogging Service, LLC",$13.00 - $17.25 an hour,Mudlogger/Wellsite Geologist
684,Waste Management,,Waste Water Engineer
685,Southern Company,,Chemical Technician - Plant Gaston
686,Occidental Petroleum Corporation,,Process Engineer
687,Phillips 66,,Technician - Renewables
688,"State of New Mexico-Energy, Minerals & Natural Res...","$47,500 - $82,600 a year",Petroleum Specialist - Advanced - UIC Program
689,CPA Global,,Patent Analyst - Chemistry (Remote Contractor)
690,International United Technology Group,,Fracturing engineer
691,AECOM,,Entry Level Environmental Scientist
692,TFE Inc,,Scientist
693,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
694,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
695,Johnson Controls,,"Staff Pressure Vessel Code Engineer, Remote position"
696,Saint-Gobain,,Principal Scientist- Asphalt
697,Phillips 66,,Technician - Analytical Sciences
698,Apache Corporation,,Engineer Reservoir III
699,US Department of Justice,"$74,334 - $96,640 a year",Engineering Technician
700,Kinder Morgan,,Director of Engineering Project Management
701,U.S. SILICA,,"Vice President - Sales & Marketing, Oil & Gas"
702,Phillips 66,,Instrument Technician - Alliance Refinery
703,Scully Signal Company,,
704,Gevo Inc.,,Plant Process Engineer
705,Bennett Pump Company,,Software Engineer
706,Oil and Gas Solutions,"$85,000 - $125,000 a year",Pipeline Corrosion Engineer-Permian Basin
707,Stony Creek Colors,"$65,000 - $85,000 a year",Plant Breeder
708,Reid Petroleum,,Network Specialist
709,Occidental Petroleum Corporation,,Supt Maintenance
710,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
711,Western Research Institute,"From $80,000 a year",Project Leader
712,International United Technology Group,,Reservoir engineer
713,Reid Petroleum,,Network Specialist
714,Entergy,,Maintenance Operator - Power Generation Plant
715,"Computerized Mudlogging Service, LLC",$13.00 - $17.25 an hour,Mudlogger/Wellsite Geologist
716,Waste Management,,Waste Water Engineer
717,Southern Company,,Chemical Technician - Plant Gaston
718,Occidental Petroleum Corporation,,Process Engineer
719,Phillips 66,,Technician - Renewables
720,"State of New Mexico-Energy, Minerals & Natural Res...","$47,500 - $82,600 a year",Petroleum Specialist - Advanced - UIC Program
721,CPA Global,,Patent Analyst - Chemistry (Remote Contractor)
722,International United Technology Group,,Fracturing engineer
723,AECOM,,Entry Level Environmental Scientist
724,OneSource,"$100,000 - $120,000 a year",Refinery Inspection Technician (3531)
725,IPA,,Project Analyst (North America)
726,Energy Transfer Family of Partnerships,,Sr Engineer - Pipeline Integrity
727,Southern Company,,Chemical Technician - Plant Gaston
728,Phillips 66,,Process Engineer - Wood River Refinery
729,Lewis Energy Group,,Intern
730,Englobal Master,,VICE PRESIDENT
731,Entergy,,Production Technician - Power Generation Plant
732,Phillips 66,,Refinery Inspector - Billings Refinery
733,"Magellan Midstream Partners, L.P.",,Operations Summer Leased Worker (Limited Scope) - Oklahoma C...
734,Gardner Denver Petroleum,,Development Engineer/Sustaining
735,Columbia University,,Postdoctoral Research Scientist
736,PinnacleART,,Solutions Engineer
737,HollyFrontier Corporation,,"Engineer, Controls"
738,Energy Transfer Family of Partnerships,,Sr Engineer
739,Occidental Petroleum Corporation,,Drafting/Designer
740,Phillips 66,,Technician - Analytical Sciences
741,KeyLogic Systems,,Energy Analysis Internship
742,Occidental Petroleum Corporation,,Supt Maintenance
743,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
744,Western Research Institute,"From $80,000 a year",Project Leader
745,International United Technology Group,,Reservoir engineer
746,Reid Petroleum,,Network Specialist
747,Entergy,,Maintenance Operator - Power Generation Plant
748,"Computerized Mudlogging Service, LLC",$13.00 - $17.25 an hour,Mudlogger/Wellsite Geologist
749,Waste Management,,Waste Water Engineer
750,Southern Company,,Chemical Technician - Plant Gaston
751,Occidental Petroleum Corporation,,Process Engineer
752,Phillips 66,,Technician - Renewables
753,"State of New Mexico-Energy, Minerals & Natural Res...","$47,500 - $82,600 a year",Petroleum Specialist - Advanced - UIC Program
754,Energy Transfer Family of Partnerships,,Sr Engineer
755,Borets Company LLC,,Surveillance Engineer
756,Marathon Petroleum Corporation,,Cybersecurity Analyst - Administration and Engineering
757,TÜV SÜD,,Boiler Machinery Consultant
758,Allegiance Refining LLC,,Process Engineer
759,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
760,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,,Engineer
761,MTH Pumps,"$67,000 - $70,000 a year",Engineer
762,"Borets U.S., Inc.","$84,615 - $135,384 a year","Manager, Field Service Quality and Training"
763,Aspen Technology,,"Technical Manager, Customer Support and Training"
764,Marathon Petroleum Corporation,,Strategy & Business Development Advisor
765,Phillips 66,,Utilities and Energy Engineer - Billings Refinery
766,Percussion Petroleum,,VP of Operations
767,Extract,"$86,000 - $121,635 a year",Reliability Engineer
768,Infineum,,Process Technologist
769,TFE Inc,,Scientist
770,Borets Company LLC,,Surveillance Engineer
771,Percussion Petroleum,,VP of Operations
772,ASI-Industrial,"$50,000 - $90,000 a year",Field Engineer
773,Entergy,,Production Technician - Power Generation Plant
774,V-TIC Services Inc.,$25 - $28 an hour,Research Chemist
775,IPCOS,,Digital Oil Field Consultant
776,HollyFrontier Corporation,,Precious Metals Coordinator
777,State of West Virginia,"$48,299 - $89,353 a year",Engineer Associate - PSC - Kanawha Co.
778,Entergy,,Maintenance Operator (Water Division) - Power Generation Pla...
779,Argonne National Laboratory,,Senior Energy Systems Researcher – Petroleum and Natural Gas...
780,Seeq Corporation,,Analytics Engineers - Industrial Experience - Virtual/Remote
781,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
782,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
783,Marathon Petroleum Corporation,,Designer/Drafter
784,Borets Company LLC,,Surveillance Engineer
785,Percussion Petroleum,,VP of Operations
786,ASI-Industrial,"$50,000 - $90,000 a year",Field Engineer
787,Entergy,,Production Technician - Power Generation Plant
788,V-TIC Services Inc.,$25 - $28 an hour,Research Chemist
789,IPCOS,,Digital Oil Field Consultant
790,HollyFrontier Corporation,,Precious Metals Coordinator
791,State of West Virginia,"$48,299 - $89,353 a year",Engineer Associate - PSC - Kanawha Co.
792,Entergy,,Maintenance Operator (Water Division) - Power Generation Pla...
793,Argonne National Laboratory,,Senior Energy Systems Researcher – Petroleum and Natural Gas...
794,Seeq Corporation,,Analytics Engineers - Industrial Experience - Virtual/Remote
795,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
796,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
797,Marathon Petroleum Corporation,,Designer/Drafter
798,Chevron,,Hydroprocessing Proposals Engineer
799,Borets Company LLC,,Surveillance Engineer
800,Percussion Petroleum,,VP of Operations
801,Entergy,,Production Technician - Power Generation Plant
802,V-TIC Services Inc.,$25 - $28 an hour,Research Chemist
803,IPCOS,,Digital Oil Field Consultant
804,HollyFrontier Corporation,,Precious Metals Coordinator
805,State of West Virginia,"$48,299 - $89,353 a year",Engineer Associate - PSC - Kanawha Co.
806,Entergy,,Maintenance Operator (Water Division) - Power Generation Pla...
807,Argonne National Laboratory,,Senior Energy Systems Researcher – Petroleum and Natural Gas...
808,Seeq Corporation,,Analytics Engineers - Industrial Experience - Virtual/Remote
809,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
810,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
811,Marathon Petroleum Corporation,,Designer/Drafter
812,Chevron,,Hydroprocessing Proposals Engineer
813,Phillips 66,,Refinery Inspector - Billings Refinery
814,Borets Company LLC,,Surveillance Engineer
815,Percussion Petroleum,,VP of Operations
816,ASI-Industrial,"$50,000 - $90,000 a year",Field Engineer
817,Entergy,,Production Technician - Power Generation Plant
818,V-TIC Services Inc.,$25 - $28 an hour,Research Chemist
819,IPCOS,,Digital Oil Field Consultant
820,HollyFrontier Corporation,,Precious Metals Coordinator
821,State of West Virginia,"$48,299 - $89,353 a year",Engineer Associate - PSC - Kanawha Co.
822,Entergy,,Maintenance Operator (Water Division) - Power Generation Pla...
823,Argonne National Laboratory,,Senior Energy Systems Researcher – Petroleum and Natural Gas...
824,Seeq Corporation,,Analytics Engineers - Industrial Experience - Virtual/Remote
825,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
826,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
827,Marathon Petroleum Corporation,,Designer/Drafter
828,Chevron,,Hydroprocessing Proposals Engineer
829,Marathon Petroleum Corporation,,Cybersecurity Analyst - Administration and Engineering
830,TÜV SÜD,,Boiler Machinery Consultant
831,Allegiance Refining LLC,,Process Engineer
832,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
833,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,,Engineer
834,MTH Pumps,"$67,000 - $70,000 a year",Engineer
835,"Borets U.S., Inc.","$84,615 - $135,384 a year","Manager, Field Service Quality and Training"
836,Aspen Technology,,"Technical Manager, Customer Support and Training"
837,Marathon Petroleum Corporation,,Strategy & Business Development Advisor
838,Phillips 66,,Utilities and Energy Engineer - Billings Refinery
839,Percussion Petroleum,,VP of Operations
840,Extract,"$86,000 - $121,635 a year",Reliability Engineer
841,Infineum,,Process Technologist
842,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
843,NewMarket Services Corporation,,R&D Scientist - Chemical Sciences
844,City of Toledo,"$50,024 - $58,864 a year",Engineering Associate
845,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
846,SPATCO ENERGY SOLUTIONS LLC,,Petroleum Sales Representative
847,Bolivar Trading,,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV."
848,Testengeer Incorporated,$24 - $45 an hour,Chemical Engineer
849,US Department of Veterans Affairs,"$58,842 - $76,499 a year",Engineering Technician
850,VAM USA,,(R&D) Project/Methods Engineer Intern
851,Honeywell,,Chemical Operator - Level 1
852,TechnipFMC,,Electronic Hardware Engineering Intern
853,Occidental Petroleum Corporation,,Safety Superintendent
854,TEMPEST,"$90,000 - $120,000 a year",Sales Manager in Chemical Products/Foam Concentrates
855,Scully Signal Company,,
856,Gevo Inc.,,Plant Process Engineer
857,Kiely Family of Companies,,Project Engineer
858,"Cawley, Gillespie and Associates",,Accounts Receivable Accountant
859,Ulterra,$16 - $20 an hour,"Research & Development Intern, Petroleum Engineering & Compu..."
860,RDM Industrial Electronics,$18.55 - $25.14 an hour,Electronics Technician
861,Borets Company LLC,,Surveillance Engineer
862,Percussion Petroleum,,VP of Operations
863,ASI-Industrial,"$50,000 - $90,000 a year",Field Engineer
864,Entergy,,Production Technician - Power Generation Plant
865,V-TIC Services Inc.,$25 - $28 an hour,Research Chemist
866,IPCOS,,Digital Oil Field Consultant
867,HollyFrontier Corporation,,Precious Metals Coordinator
868,State of West Virginia,"$48,299 - $89,353 a year",Engineer Associate - PSC - Kanawha Co.
869,Entergy,,Maintenance Operator (Water Division) - Power Generation Pla...
870,Argonne National Laboratory,,Senior Energy Systems Researcher – Petroleum and Natural Gas...
871,Seeq Corporation,,Analytics Engineers - Industrial Experience - Virtual/Remote
872,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
873,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
874,Marathon Petroleum Corporation,,Designer/Drafter
875,Chevron,,Hydroprocessing Proposals Engineer
876,Marathon Petroleum Corporation,,Designer/Drafter
877,Chevron,,Hydroprocessing Proposals Engineer
878,Phillips 66,,Refinery Inspector - Billings Refinery
879,Cameron LNG LLC,,Field Level Training & Competency Specialist (MTC & ENG)
880,Knife River - Western Oregon Division,$22.15 an hour,QUALITY CONTROL TECHNICIAN
881,State of Ohio Jobs,$33.84 an hour,Electrical Engineering Specialist (Energy Specialist)
882,Fluor Federal Petroleum Operations,,Project Controls Specialist
883,Energy Transfer Family of Partnerships,,Engineer - Pipeline Integrity East
884,Barrios Technology,,Writing Services Management Specialist
885,IPA,,Project Analyst (North America)
886,Englobal Master,,Process Engineer VIII
887,Kinder Morgan,,Specialist Right of Way - Pipelines
888,PBF Energy,,Process Engineer
889,California Resources Corporation,,Operations Engineer
890,Guttman Energy,,Oil and Gas Operations Supervisor
891,Southern Company,,Chemical Technician - Plant Gaston
892,Allegiance Refining LLC,,Process Engineer
893,Lewis Energy Group,,Intern
894,"Magellan Midstream Partners, L.P.",,Operations Summer Leased Worker (Limited Scope) - Oklahoma C...
895,HollyFrontier Corporation,,"Engineer, Controls"
896,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,,Engineer
897,TÜV SÜD,,Boiler Machinery Consultant
898,Phillips 66,,Utilities and Energy Engineer - Billings Refinery
899,MTH Pumps,"$67,000 - $70,000 a year",Engineer
900,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
901,Infineum,,Process Technologist
902,Aspen Technology,,"Technical Manager, Customer Support and Training"
903,Marathon Petroleum Corporation,,Strategy & Business Development Advisor
904,Extract,"$86,000 - $121,635 a year",Reliability Engineer
905,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
906,Chevron,,Hydroprocessing Proposals Engineer
907,Phillips 66,,Refinery Inspector - Billings Refinery
908,Cameron LNG LLC,,Field Level Training & Competency Specialist (MTC & ENG)
909,Knife River - Western Oregon Division,$22.15 an hour,QUALITY CONTROL TECHNICIAN
910,US Department of Agriculture,"$34,916 - $68,777 a year",Engineering Technician
911,State of Ohio Jobs,$33.84 an hour,Electrical Engineering Specialist (Energy Specialist)
912,Energy Transfer Family of Partnerships,,Engineer - Pipeline Integrity East
913,Barrios Technology,,Writing Services Management Specialist
914,IPA,,Project Analyst (North America)
915,Englobal Master,,Process Engineer VIII
916,Kinder Morgan,,Specialist Right of Way - Pipelines
917,PBF Energy,,Process Engineer
918,California Resources Corporation,,Operations Engineer
919,Guttman Energy,,Oil and Gas Operations Supervisor
920,Colonial Pipeline Company,,Associate Pipeline Operator
921,Marathon Petroleum Corporation,,Designer/Drafter
922,Chevron,,Hydroprocessing Proposals Engineer
923,Phillips 66,,Refinery Inspector - Billings Refinery
924,Cameron LNG LLC,,Field Level Training & Competency Specialist (MTC & ENG)
925,Knife River - Western Oregon Division,$22.15 an hour,QUALITY CONTROL TECHNICIAN
926,US Department of Agriculture,"$34,916 - $68,777 a year",Engineering Technician
927,State of Ohio Jobs,$33.84 an hour,Electrical Engineering Specialist (Energy Specialist)
928,Fluor Federal Petroleum Operations,,Project Controls Specialist
929,Energy Transfer Family of Partnerships,,Engineer - Pipeline Integrity East
930,Barrios Technology,,Writing Services Management Specialist
931,IPA,,Project Analyst (North America)
932,Englobal Master,,Process Engineer VIII
933,Kinder Morgan,,Specialist Right of Way - Pipelines
934,PBF Energy,,Process Engineer
935,California Resources Corporation,,Operations Engineer
936,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
937,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
938,Marathon Petroleum Corporation,,Designer/Drafter
939,Chevron,,Hydroprocessing Proposals Engineer
940,Phillips 66,,Refinery Inspector - Billings Refinery
941,Cameron LNG LLC,,Field Level Training & Competency Specialist (MTC & ENG)
942,Knife River - Western Oregon Division,$22.15 an hour,QUALITY CONTROL TECHNICIAN
943,US Department of Agriculture,"$34,916 - $68,777 a year",Engineering Technician
944,State of Ohio Jobs,$33.84 an hour,Electrical Engineering Specialist (Energy Specialist)
945,Fluor Federal Petroleum Operations,,Project Controls Specialist
946,Energy Transfer Family of Partnerships,,Engineer - Pipeline Integrity East
947,Barrios Technology,,Writing Services Management Specialist
948,IPA,,Project Analyst (North America)
949,Englobal Master,,Process Engineer VIII
950,Kinder Morgan,,Specialist Right of Way - Pipelines
951,Marathon Petroleum Corporation,,Instrument Engineer
952,NewMarket Services Corporation,,R&D Scientist - Chemical Sciences
953,University of Texas at San Antonio,,Assistant/Associate Professor (Biomedical Engineering and Ch...
954,Mogas Industries,,Engineering Manager - Modules
955,WestLAND Group,,DIRECTOR OF PIPELINE ENGINEERING
956,Penn Virginia Corporation,,Production/Facilities Engineer
957,Kinder Morgan,,Technician-Telecom - Brentwood
958,Diamond Z Engineering,,AUTOCAD DESIGNER
959,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
960,Department of Environmental Quality,"$4,436 - $6,789 a month",Underground Storage Tank Inspector
961,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
962,Chevron,,Hydroprocessing Proposals Engineer
963,Wawa,,Construction Bid Project Manager
964,Ashland,,Senior Process Design Engineer
965,University of Louisiana Lafayette,,Postdoctoral Researcher
966,Marathon Petroleum Corporation,,Instrument Engineer
967,NewMarket Services Corporation,,R&D Scientist - Chemical Sciences
968,University of Texas at San Antonio,,Assistant/Associate Professor (Biomedical Engineering and Ch...
969,Mogas Industries,,Engineering Manager - Modules
970,WestLAND Group,,DIRECTOR OF PIPELINE ENGINEERING
971,Penn Virginia Corporation,,Production/Facilities Engineer
972,PG&E Corporation,,Senior Reservoir Engineer
973,Kinder Morgan,,Technician-Telecom - Brentwood
974,Diamond Z Engineering,,AUTOCAD DESIGNER
975,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
976,Department of Environmental Quality,"$4,436 - $6,789 a month",Underground Storage Tank Inspector
977,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
978,Chevron,,Hydroprocessing Proposals Engineer
979,Wawa,,Construction Bid Project Manager
980,Ashland,,Senior Process Design Engineer
981,Barrios Technology,,Test Engineer - Entry Level (Temporary)
982,Atlas Technical Consultants,,Field Geologist
983,Aramco Services Company,,Safety and Facilities Planning Specialist (628837)
984,Port of Corpus Christi,"$48,859 - $64,397 a year",Environmental Specialist
985,Phillips 66,,Process Engineer - Wood River Refinery
986,"Cawley, Gillespie and Associates",,Accounts Receivable Accountant
987,ROSEN Group,,HSE Coordinator
988,Kinder Morgan,,Operations Specialist
989,HollyFrontier Corporation,,Regional Oversite Coordinator
990,Oneida ESC Group,,Petroleum Specialist Instructor - Army Quartermaster School
991,Xylem,,XLI Field Technician
992,Clariant,,Technical Service Engineer
993,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
994,Los Alamos National Laboratory,"$94,100 a year",Earth & Environmental Sciences Research Scientist
995,WSP USA,,Petroleum Fuel Storage Tank Specialist
996,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
997,Marathon Petroleum Corporation,,Instrument Engineer
998,NewMarket Services Corporation,,R&D Scientist - Chemical Sciences
999,University of Texas at San Antonio,,Assistant/Associate Professor (Biomedical Engineering and Ch...
1000,Mogas Industries,,Engineering Manager - Modules
1001,WestLAND Group,,DIRECTOR OF PIPELINE ENGINEERING
1002,Penn Virginia Corporation,,Production/Facilities Engineer
1003,Kinder Morgan,,Technician-Telecom - Brentwood
1004,Diamond Z Engineering,,AUTOCAD DESIGNER
1005,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
1006,Department of Environmental Quality,"$4,436 - $6,789 a month",Underground Storage Tank Inspector
1007,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
1008,Chevron,,Hydroprocessing Proposals Engineer
1009,Wawa,,Construction Bid Project Manager
1010,Ashland,,Senior Process Design Engineer
1011,NewMarket Services Corporation,,R&D Scientist - Chemical Sciences
1012,Marathon Petroleum Corporation,,Instrument Engineer
1013,Mogas Industries,,Engineering Manager - Modules
1014,Penn Virginia Corporation,,Production/Facilities Engineer
1015,Department of Environmental Quality,"$4,436 - $6,789 a month",Underground Storage Tank Inspector
